POOFFICE,ZONE,SENTTOT,AGE,AGECAT,CASETYPE,CIRCDIST,CITIZEN,CRIMHIST,CRIMPTS,DISPOSIT,DISTRICT,HISPORIG,MONSEX,NEWCNVTN,NEWEDUC,NEWRACE,NOCOUNTS,NUMDEPEN,OFFGUIDE,PRISDUM,PROBDUM,SENTIMP,SUPRDUM,TOTCHPTS,WEAPON,XCRHISSR,DRUGMIN,GLMIN,GLMAX,SMIN1,SMAX1,FISCAL_YEAR
8,D,66.0,41.0,6.0,1.0,60,1.0,1.0,1.0,1,67,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,1.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
4,D,60.0,26.0,3.0,1.0,35,1.0,0.0,0.0,1,41,2,0.0,0,5.0,3.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
4,D,102.0,39.0,5.0,1.0,67,1.0,1.0,1.0,1,71,2,0.0,0,3.0,3.0,1,3.0,7,1,0,1,1,1.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
1,D,60.0,19.0,1.0,1.0,24,1.0,1.0,0.0,1,22,1,0.0,0,5.0,2.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,292.0,365.0,0.0,360.0,2020
3,D,48.0,56.0,7.0,1.0,89,1.0,1.0,0.0,1,30,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
1,D,129.0,50.0,6.0,1.0,9,1.0,1.0,5.0,1,6,1,0.0,0,5.0,1.0,1,1.0,7,1,0,1,1,7.0,0,4.0,0,120.0,137.0,120.0,240.0,2020
5,D,188.0,57.0,7.0,1.0,55,1.0,1.0,1.0,1,62,1,0.0,0,5.0,1.0,2,0.0,7,1,0,1,1,1.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
4,D,87.0,53.0,7.0,1.0,82,1.0,1.0,0.0,1,85,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,60.0,60.0,60.0,240.0,2020
6,D,210.0,53.0,7.0,1.0,33,1.0,1.0,3.0,1,40,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,3.0,0,2.0,0,180.0,210.0,180.0,480.0,2020
7,D,180.0,20.0,1.0,1.0,25,1.0,0.0,0.0,1,23,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,180.0,180.0,180.0,360.0,2020
1,D,72.0,35.0,4.0,1.0,35,3.0,1.0,0.0,1,41,2,0.0,0,6.0,3.0,1,2.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
2,D,60.0,46.0,6.0,1.0,85,1.0,0.0,0.0,1,89,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
6,D,109.0,45.0,6.0,1.0,37,1.0,1.0,0.0,1,43,1,0.0,0,3.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
5,D,120.0,36.0,5.0,1.0,38,1.0,1.0,1.0,1,44,1,0.0,0,5.0,1.0,2,0.0,7,1,0,1,1,3.0,0,2.0,0,168.0,210.0,60.0,240.0,2020
0,D,60.0,66.0,8.0,1.0,91,1.0,0.0,0.0,1,31,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
6,D,120.0,32.0,4.0,1.0,30,1.0,1.0,13.0,1,36,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,13.0,0,6.0,0,140.0,175.0,120.0,240.0,2020
2,D,78.0,30.0,3.0,1.0,14,1.0,0.0,0.0,1,12,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,60.0,240.0,2020
4,D,108.0,26.0,3.0,1.0,24,1.0,0.0,0.0,1,22,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
2,D,61.0,24.0,2.0,1.0,24,1.0,0.0,0.0,1,22,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
1,D,230.0,53.0,7.0,1.0,19,1.0,1.0,6.0,1,16,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,8.0,0,4.0,0,292.0,365.0,180.0,480.0,2020
1,D,63.0,30.0,3.0,1.0,91,1.0,0.0,0.0,1,31,1,0.0,0,5.0,2.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
2,D,63.0,36.0,5.0,1.0,71,1.0,1.0,0.0,1,76,1,0.0,0,1.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,120.0,2020
2,D,60.0,25.0,2.0,1.0,7,1.0,0.0,0.0,1,5,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,188.0,235.0,60.0,240.0,2020
3,D,36.0,76.0,8.0,1.0,75,1.0,0.0,0.0,1,79,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,0.0,120.0,2020
6,D,240.0,50.0,6.0,1.0,89,1.0,1.0,0.0,4,30,1,0.0,1,3.0,1.0,2,1.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
5,D,240.0,36.0,5.0,1.0,62,1.0,1.0,14.0,1,69,1,0.0,0,5.0,1.0,2,1.0,7,1,0,1,1,14.0,0,6.0,0,262.0,327.0,120.0,9996.0,2020
5,D,60.0,49.0,6.0,1.0,62,1.0,1.0,0.0,1,69,1,0.0,0,1.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,60.0,60.0,60.0,240.0,2020
2,D,63.0,52.0,7.0,1.0,64,1.0,0.0,0.0,1,70,1,0.0,0,6.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,63.0,78.0,60.0,240.0,2020
2,D,44.0,40.0,5.0,1.0,65,1.0,1.0,0.0,1,73,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,135.0,168.0,0.0,240.0,2020
5,D,,67.0,8.0,1.0,22,1.0,1.0,0.0,1,19,1,0.0,0,5.0,1.0,1,1.0,7,0,1,3,0,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
2,,0.03,76.0,8.0,1.0,84,1.0,,,1,88,1,0.0,0,,1.0,1,,7,1,0,1,1,,0,,0,,,0.0,240.0,2020
2,D,240.0,56.0,7.0,1.0,73,1.0,1.0,9.0,3,78,1,0.0,1,5.0,1.0,1,1.0,7,1,0,1,1,9.0,0,4.0,0,240.0,240.0,120.0,240.0,2020
4,D,48.0,37.0,5.0,1.0,34,1.0,1.0,0.0,1,39,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,57.0,71.0,0.0,120.0,2020
3,C,24.0,21.0,2.0,1.0,44,1.0,1.0,0.0,1,50,1,1.0,0,3.0,1.0,1,1.0,8,1,0,1,1,0.0,0,1.0,0,10.0,16.0,0.0,60.0,2020
4,D,115.0,66.0,8.0,1.0,59,1.0,1.0,0.0,1,66,0,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
2,D,120.0,64.0,8.0,1.0,39,1.0,1.0,3.0,1,45,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,3.0,0,2.0,0,120.0,120.0,120.0,240.0,2020
7,D,70.0,30.0,3.0,1.0,36,1.0,1.0,0.0,1,42,2,0.0,0,3.0,3.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,0.0,240.0,2020
4,D,84.0,25.0,2.0,1.0,20,1.0,0.0,0.0,1,17,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
1,D,60.0,31.0,4.0,1.0,3,1.0,1.0,0.0,1,1,2,0.0,0,6.0,3.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
1,D,72.0,46.0,6.0,1.0,22,1.0,1.0,0.0,1,19,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
1,D,60.0,60.0,7.0,1.0,91,1.0,1.0,0.0,1,31,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,87.0,108.0,60.0,240.0,2020
1,D,200.0,27.0,3.0,1.0,43,1.0,1.0,1.0,1,49,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,3.0,0,2.0,0,235.0,240.0,60.0,240.0,2020
4,D,35.0,46.0,6.0,1.0,56,1.0,1.0,2.0,1,63,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,2.0,0,2.0,0,33.0,41.0,0.0,240.0,2020
5,D,41.0,27.0,3.0,1.0,92,1.0,0.0,0.0,1,33,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,41.0,51.0,0.0,240.0,2020
1,D,60.0,38.0,5.0,1.0,1,1.0,1.0,0.0,1,90,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,60.0,240.0,2020
1,D,78.0,56.0,7.0,1.0,50,1.0,1.0,0.0,1,56,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
4,D,60.0,81.0,8.0,1.0,72,1.0,0.0,0.0,1,77,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
6,D,144.0,51.0,7.0,1.0,72,1.0,1.0,0.0,1,77,1,0.0,0,5.0,1.0,12,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
9,D,41.0,59.0,7.0,1.0,72,1.0,0.0,0.0,1,77,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,41.0,51.0,0.0,240.0,2020
1,D,45.0,27.0,3.0,1.0,3,1.0,0.0,0.0,1,1,1,0.0,0,6.0,1.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
4,D,60.0,22.0,2.0,1.0,72,1.0,1.0,0.0,1,77,1,0.0,0,5.0,6.0,13,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
5,D,121.0,23.0,2.0,1.0,20,2.0,0.0,0.0,1,17,2,0.0,0,3.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
8,D,60.0,49.0,6.0,1.0,89,1.0,0.0,0.0,1,30,2,0.0,0,3.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,60.0,240.0,2020
3,D,39.0,36.0,5.0,1.0,50,1.0,1.0,0.0,1,56,1,0.0,0,5.0,2.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,41.0,51.0,0.0,240.0,2020
1,D,100.0,36.0,5.0,1.0,11,1.0,1.0,0.0,1,9,1,0.0,0,1.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,135.0,168.0,0.0,240.0,2020
1,D,180.0,59.0,7.0,1.0,47,1.0,1.0,0.0,1,52,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,180.0,188.0,180.0,480.0,2020
6,D,121.0,47.0,6.0,1.0,11,1.0,1.0,0.0,1,9,1,0.0,0,5.0,1.0,1,4.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
1,D,84.0,68.0,8.0,1.0,49,1.0,1.0,0.0,1,55,1,0.0,0,5.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
2,D,48.0,48.0,6.0,1.0,76,1.0,1.0,0.0,1,80,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
1,D,96.0,29.0,3.0,1.0,17,1.0,1.0,7.0,1,15,1,0.0,0,3.0,1.0,4,0.0,7,1,0,1,1,7.0,0,4.0,0,121.0,151.0,60.0,240.0,2020
1,D,22.0,33.0,4.0,1.0,1,1.0,1.0,2.0,1,90,1,0.0,0,5.0,2.0,1,0.0,8,1,0,1,1,2.0,0,2.0,0,18.0,24.0,0.0,120.0,2020
1,D,12.03,67.0,8.0,1.0,26,1.0,1.0,0.0,1,24,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,24.0,30.0,0.0,120.0,2020
1,D,60.0,25.0,2.0,1.0,3,1.0,0.0,0.0,1,1,1,0.0,0,6.0,6.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
1,D,70.0,54.0,7.0,1.0,4,1.0,0.0,0.0,1,2,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,120.0,0.0,120.0,2020
3,D,78.0,64.0,8.0,1.0,68,1.0,1.0,0.0,1,74,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
2,D,120.0,47.0,6.0,1.0,64,1.0,1.0,0.0,3,70,2,0.0,1,3.0,3.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,262.0,60.0,240.0,2020
5,D,36.0,38.0,5.0,1.0,54,1.0,0.0,0.0,1,61,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,120.0,0.0,120.0,2020
3,D,120.0,33.0,4.0,1.0,90,1.0,1.0,3.0,1,29,1,0.0,0,6.0,1.0,1,1.0,7,1,0,1,1,3.0,0,2.0,0,120.0,120.0,120.0,240.0,2020
2,D,48.0,34.0,4.0,1.0,89,1.0,0.0,0.0,1,30,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
3,D,72.0,36.0,5.0,1.0,27,1.0,1.0,2.0,1,25,1,0.0,0,3.0,1.0,2,0.0,7,1,0,1,1,2.0,0,2.0,0,135.0,168.0,60.0,240.0,2020
1,D,48.0,26.0,3.0,1.0,91,1.0,1.0,0.0,1,31,2,0.0,0,1.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
5,D,151.0,63.0,8.0,1.0,37,1.0,1.0,0.0,1,43,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
