AGE,SMIN1,SMAX1,GLMIN,GLMAX,CRIMPTS,TOTCHPTS,XCRHISSR,NUMDEPEN,NOCOUNTS,DRUGMIN,MONSEX,WEAPON,NEWEDUC,ZONE,DISTRICT,DISPOSIT,CITIZEN,FISCAL_YEAR,OFFGUIDE,SENTTOT_actual,SENTTOT_predicted,residual,NEWRACE,POC
52.0,0.0,240.0,63.0,78.0,0.0,0.0,1.0,2.0,1,0,0.0,0,6.0,D,19,1,1.0,2025,7,54.0,52.24180564780273,1.7581943521972718,1.0,False
34.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,1.0,D,14,1,1.0,2023,7,60.0,103.77352063810272,-43.773520638102724,1.0,False
32.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,45,1,1.0,2022,7,72.0,71.56991503760793,0.4300849623920726,1.0,False
47.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,1.0,1,0,0.0,0,3.0,D,5,1,1.0,2022,7,60.0,103.49459877713456,-43.494598777134556,1.0,False
55.0,0.0,240.0,135.0,168.0,0.0,0.0,1.0,0.0,5,0,0.0,0,5.0,D,70,3,1.0,2025,7,168.0,125.7064886621747,42.293511337825294,3.0,True
26.0,180.0,480.0,180.0,180.0,3.0,3.0,2.0,1.0,3,0,0.0,0,3.0,D,85,1,1.0,2024,7,180.0,190.0550556985072,-10.055055698507203,2.0,True
66.0,120.0,240.0,120.0,120.0,,,3.0,,1,0,0.0,0,,D,15,1,,2023,7,120.0,112.15312097078981,7.846879029210186,1.0,False
45.0,0.0,120.0,30.0,37.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,65,1,1.0,2024,7,30.0,32.300453489199796,-2.3004534891997963,1.0,False
25.0,0.0,240.0,87.0,108.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,53,1,1.0,2022,7,66.0,52.60416107480207,13.395838925197928,3.0,True
37.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,3.0,1,0,0.0,0,3.0,D,17,1,1.0,2022,7,48.0,58.26429991548396,-10.26429991548396,2.0,True
37.0,120.0,240.0,188.0,235.0,8.0,8.0,4.0,2.0,2,0,0.0,0,5.0,D,65,1,1.0,2025,7,190.0,168.725505644745,21.274494355255,1.0,False
33.0,0.0,240.0,108.0,135.0,1.0,1.0,1.0,0.0,1,0,0.0,0,3.0,D,13,1,1.0,2022,7,0.03,79.6052886559054,-79.5752886559054,1.0,False
38.0,60.0,240.0,151.0,188.0,1.0,1.0,1.0,0.0,1,0,0.0,0,3.0,D,56,1,1.0,2020,7,60.0,105.91830617092498,-45.91830617092498,1.0,False
35.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,1.0,1,0,0.0,0,3.0,D,69,1,1.0,2024,7,70.0,79.20430510619119,-9.204305106191185,1.0,False
48.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,61,1,1.0,2025,7,120.0,54.59461927087652,65.40538072912348,1.0,False
26.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,2,0,0.0,0,1.0,D,49,1,1.0,2020,7,97.0,85.3702659683793,11.6297340316207,1.0,False
41.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,2.0,1,0,0.0,0,5.0,D,66,1,1.0,2020,7,151.0,94.59330385945219,56.40669614054781,1.0,False
